Kommun,Fastighetsbeteckning,Adress,Byggår/Värdeår,Fastighetskategori,Tomträtt,Kontor,Handel,Industri/Lager,Utbilning/Vård,Hotell,Bostad,Övrigt,Totalt,"Taxeringsvärde, Mkr"
Sundsvall,Fliten 10,Skolhusallén 7,1990,Kontor,,3059,,5,,,,36,3100,30
Sundsvall,Fliten 11,Rådhusgatan 39 A,1992,Bostad,,272,,66,,,3371,,3709,44
Sundsvall,Kvissle 2:53 & 2:43,Affärsgatan 26 A-D,1962,Bostad,,,,,,,1468,,1468,5
Sundsvall,Kvissle 22:2 & 39:1,Affärsgatan 22,1968,Bostad,,87,137,75,,,6416,45,6760,19
Sundsvall,Lagmannen 10,Esplanaden 18,1962,Bostad,,757,240,,,,3985,957,5939,49
Sundsvall,"Nolby 1:48, 40:1, 1:108",Affärsgatan 20,1983,Bostad,,998,,62,,,4097,725,5882,20
Sundsvall,Nolby 3:268,Brovägen 9,1988,Bostad,,,,,,,997,,997,4
Sundsvall,Nolby 40:2,Affärsgatan 18,1964,Bostad,,,1071,6,,,2243,130,3450,10
Sundsvall,Nolby 41:3 & 37:1,Affärsgatan 14,1974,Bostad,,,1006,5,,,5328,43,6381,21
Östersund,Traktorn 5,Fagerbacken 65,1994,Handel,,,3216,,,,,,3216,20
Norge,Bærum 3024–81/16,Dønskiveien 6 A-E,1970,Bostad,,,,,,,2614,,2614,
Norge,Elverum 13/1059/0/1,Hamarvegen 112,2010,Övrigt,,,,,16400,,,,16400,
Norge,Oslo 230/397,Lakkegata 3,1983,Bostad,,,,,,,8551,,8551,
Norge,Trondheim 5001/416/105,Hans Nissens gate 3 och Skolegata 5,2016,Bostad,,,,,,,3577,,3577,
